host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating
,,49.2631,-123.08112,2,1.0,1.0,$68.00,1,1,100.0
93%,87%,49.28118,-123.11764,4,1.0,1.0,$97.00,30,0,
64%,15%,49.28873,-123.11745,5,2.0,3.0,$694.00,15,0,
,,49.25983,-123.13621,4,2.0,2.0,$78.00,31,0,
0%,0%,49.28318,-123.10329,3,1.0,1.0,$150.00,2,73,95.0
,,49.24135,-123.15577,2,1.0,1.0,$35.00,30,6,73.0
,100%,49.27996,-123.10683,4,2.0,2.0,$151.00,1,16,93.0
,,49.28798,-123.12452,2,1.0,1.0,$100.00,31,0,
100%,71%,49.26024,-123.17907,2,1.0,0.0,$125.00,30,2,100.0
,,49.25468,-123.10184,2,1.0,1.0,$129.00,2,34,96.0
100%,100%,49.24196,-123.10166,5,2.0,3.0,$159.00,3,5,92.0
,,49.27606,-123.12951,2,,2.0,$113.00,2,6,100.0
100%,0%,49.27507,-123.11667,3,1.0,1.0,$100.00,30,5,100.0
83%,90%,49.27384,-123.06744,2,1.0,0.0,$80.00,2,68,91.0
100%,,49.23336,-123.09936,6,3.0,3.0,$200.00,3,74,96.0
93%,87%,49.27061,-123.10732,4,1.0,1.0,$83.00,90,0,
,,49.27139,-123.10188,3,1.0,0.0,$115.00,31,61,99.0
100%,100%,49.23285,-123.08004,4,2.0,2.0,$59.00,1,0,
100%,0%,49.24002,-123.07362,8,3.0,4.0,$225.00,2,36,98.0
0%,0%,49.28663,-123.12516,1,1.0,1.0,$160.00,1,20,91.0
100%,,49.24368,-123.186,4,3.0,5.0,$161.00,30,0,
,50%,49.25584,-123.09185,4,2.0,2.0,$99.00,2,11,96.0
,,49.23541,-123.02514,4,1.0,1.0,$150.00,5,0,
,,49.27105,-123.10296,2,1.0,1.0,$120.00,30,2,80.0
,100%,49.26576,-123.05503,2,1.0,1.0,$58.00,1,49,96.0
,,49.22245,-123.1458,2,1.0,1.0,$75.00,5,3,87.0
,,49.25181,-123.09862,3,2.0,2.0,$120.00,2,0,
,,49.25042,-123.09973,6,3.0,5.0,$225.00,3,5,96.0
100%,96%,49.23414,-123.04269,12,5.0,6.0,$296.00,3,60,99.0
100%,96%,49.27854,-123.12318,4,1.0,2.0,$105.00,3,91,95.0
100%,95%,49.22664,-123.03522,4,2.0,2.0,$75.00,2,63,98.0
,,49.26077,-123.1995,4,2.0,2.0,$349.00,3,5,100.0
,,49.28123,-123.08986,4,2.0,2.0,$165.00,2,24,98.0
,,49.28718,-123.13794,2,1.0,1.0,$50.00,1,27,98.0
97%,85%,49.28307,-123.12555,4,1.0,1.0,$105.00,30,1,20.0
100%,75%,49.25258,-123.07974,3,2.0,2.0,$85.00,5,16,100.0
100%,89%,49.26592,-123.06811,2,1.0,2.0,$75.00,30,5,100.0
,100%,49.27524,-123.1295,2,1.0,1.0,$117.00,30,8,100.0
70%,66%,49.2779,-123.12067,5,3.0,3.0,$125.00,30,5,96.0
100%,100%,49.26574,-123.16033,2,,1.0,$145.00,5,38,99.0
0%,0%,49.27421,-123.1194,3,1.0,2.0,$188.00,1,0,
,,49.28039,-123.12187,3,1.0,2.0,$125.00,60,1,100.0
,,49.22564,-123.08796,5,3.0,1.0,$120.00,30,0,
100%,93%,49.2836,-123.13254,2,1.0,1.0,$225.00,30,5,100.0
100%,100%,49.27099,-123.05703,2,1.0,1.0,$150.00,1,39,95.0
100%,100%,49.27539,-123.13316,4,2.0,3.0,$238.00,5,84,96.0
,,49.26724,-123.14109,6,2.0,3.0,$995.00,3,0,
,,49.28154,-123.06002,3,2.0,2.0,$199.00,31,0,
100%,44%,49.23119,-123.09892,14,7.0,7.0,$685.00,3,2,100.0
100%,44%,49.23157,-123.09974,10,5.0,5.0,$467.00,3,11,98.0
100%,100%,49.26806,-123.1644,6,3.0,4.0,$302.00,30,7,100.0
,,49.27273,-123.07279,4,2.0,2.0,$225.00,2,12,95.0
,,49.27214,-123.16703,4,2.0,2.0,$165.00,30,0,
100%,100%,49.25322,-123.06633,2,1.0,1.0,$135.00,3,27,100.0
,,49.26671,-123.14494,6,2.0,2.0,$232.00,3,7,83.0
100%,95%,49.22767,-123.03541,12,5.0,5.0,$296.00,3,56,98.0
100%,100%,49.28316,-123.05879,4,,3.0,$98.00,1,4,100.0
,,49.29159,-123.13279,2,1.0,1.0,$60.00,180,0,
,,49.23858,-123.02487,4,2.0,2.0,$92.00,4,40,99.0
,,49.26181,-123.14399,2,1.0,1.0,$78.00,3,18,87.0
75%,100%,49.26856,-123.14022,4,2.0,4.0,$180.00,31,4,100.0
,,49.26002,-123.12768,4,2.0,2.0,$105.00,30,7,91.0
,,49.28038,-123.12471,4,1.0,3.0,$150.00,2,82,90.0
,,49.27701,-123.124,2,1.0,1.0,$85.00,30,0,
,50%,49.25395,-123.0995,6,3.0,3.0,$375.00,5,13,100.0
90%,96%,49.28048,-123.12496,4,1.0,2.0,$110.00,3,106,95.0
100%,91%,49.2789,-123.10792,5,3.0,2.0,$516.00,2,9,93.0
100%,88%,49.27181,-123.10482,3,1.0,1.0,$110.00,30,12,100.0
100%,96%,49.23391,-123.04302,6,3.0,3.0,$150.00,2,60,97.0
,,49.2777,-123.09966,2,1.0,1.0,$199.00,2,69,98.0
,,49.27532,-123.12493,2,1.0,1.0,$199.00,30,0,
,,49.25974,-123.12675,2,1.0,1.0,$86.00,30,3,100.0
98%,98%,49.23786,-123.06725,14,6.0,7.0,$328.00,1,115,96.0
,,49.26137,-123.08884,2,1.0,1.0,$42.00,31,0,
100%,84%,49.28589,-123.12773,4,2.0,2.0,$128.00,30,1,100.0
,,49.26513,-123.10181,2,1.0,1.0,$125.00,2,0,
100%,85%,49.28029,-123.12292,3,2.0,2.0,$135.00,30,4,100.0
100%,,49.28159,-123.10816,3,,1.0,$149.00,3,60,96.0
100%,50%,49.27051,-123.06997,4,2.0,2.0,$130.00,1,52,90.0
97%,85%,49.26651,-123.11846,2,1.0,1.0,$89.00,30,2,100.0
,,49.28108,-123.10876,1,1.0,1.0,$99.00,3,3,93.0
,,49.25979,-123.16979,6,3.0,3.0,$150.00,1,60,92.0
91%,80%,49.28661,-123.13053,6,3.0,3.0,$175.00,31,0,
91%,80%,49.28714,-123.12987,4,2.0,2.0,$124.00,31,0,
100%,0%,49.23509,-123.1018,2,1.0,1.0,$55.00,30,3,100.0
100%,100%,49.24876,-123.16433,2,1.0,2.0,$90.00,1,1,100.0
100%,100%,49.27744,-123.05046,2,1.0,1.0,$52.00,30,2,100.0
94%,98%,49.28192,-123.12952,2,1.0,1.0,$40.00,27,12,93.0
100%,100%,49.25615,-123.16666,2,1.0,1.0,$115.00,2,26,99.0
,,49.27017,-123.06409,7,3.0,4.0,$450.00,4,0,
100%,99%,49.21833,-123.12779,16,6.0,5.0,$871.00,2,40,94.0
,,49.27214,-123.12733,4,2.0,2.0,$220.00,30,0,
100%,96%,49.24666,-123.09781,6,3.0,3.0,$246.00,5,66,96.0
93%,87%,49.27622,-123.11734,4,1.0,1.0,$89.00,90,0,
100%,100%,49.23892,-123.17921,2,1.0,1.0,$93.00,1,41,97.0
100%,100%,49.24909,-123.16779,3,1.0,2.0,$110.00,1,0,
100%,100%,49.24668,-123.16321,3,1.0,2.0,$110.00,1,0,
,,49.24679,-123.09755,6,3.0,3.0,$433.00,2,5,100.0
,,49.22476,-123.12215,3,1.0,2.0,$80.00,1,3,100.0
100%,,49.28063,-123.10961,2,1.0,1.0,$250.00,1,18,100.0
,100%,49.28993,-123.04355,8,3.0,4.0,$999.00,1,106,96.0
100%,100%,49.23848,-123.17721,1,1.0,1.0,$79.00,1,29,100.0
100%,20%,49.28153,-123.12302,2,1.0,1.0,$75.00,30,4,100.0
100%,100%,49.2884,-123.12755,2,1.0,1.0,$110.00,31,1,80.0
,100%,49.26087,-123.05738,6,2.0,3.0,$200.00,4,19,99.0
100%,91%,49.27479,-123.12684,2,1.0,2.0,$118.00,1,62,95.0
73%,100%,49.2873,-123.12704,4,2.0,4.0,$75.00,30,0,
100%,97%,49.24117,-123.02709,2,1.0,2.0,$75.00,2,26,98.0
,100%,49.26054,-123.05792,2,1.0,1.0,$55.00,1,70,99.0
93%,36%,49.28892,-123.12778,2,1.0,1.0,$83.00,30,3,87.0
100%,88%,49.27082,-123.18064,6,3.0,3.0,$600.00,30,0,
,,49.26017,-123.09725,4,1.0,2.0,$99.00,1,22,95.0
100%,95%,49.24687,-123.16086,2,1.0,0.0,$40.00,2,38,96.0
100%,100%,49.28139,-123.10384,2,,1.0,$189.00,6,14,97.0
99%,85%,49.27807,-123.12233,2,,1.0,$239.00,1,3,100.0
99%,85%,49.27708,-123.12171,2,,0.0,$399.00,1,6,97.0
99%,85%,49.27807,-123.12233,2,,1.0,$179.00,1,64,90.0
99%,85%,49.27748,-123.12164,4,1.0,2.0,$299.00,1,11,93.0
99%,85%,49.27807,-123.12233,4,1.0,1.0,$225.00,1,29,95.0
99%,85%,49.27901,-123.12133,4,1.0,2.0,$389.00,1,9,98.0
100%,100%,49.28675,-123.04655,4,2.0,2.0,$89.00,2,60,97.0
100%,,49.25388,-123.02656,3,1.0,2.0,$89.00,1,49,97.0
75%,,49.24089,-123.05802,4,1.0,2.0,$78.00,50,3,100.0
,,49.28557,-123.12698,1,1.0,1.0,$150.00,31,0,
100%,100%,49.21282,-123.1339,1,1.0,1.0,$45.00,3,53,92.0
,,49.27339,-123.12682,2,1.0,1.0,$175.00,2,4,100.0
,,49.2677,-123.1865,2,1.0,1.0,$125.00,2,6,96.0
,,49.26888,-123.07002,6,3.0,3.0,$130.00,2,73,92.0
100%,50%,49.28039,-123.10031,2,1.0,1.0,$100.00,30,0,
100%,,49.26047,-123.1076,2,1.0,1.0,$185.00,5,4,100.0
100%,90%,49.28101,-123.05851,4,2.0,2.0,$89.00,2,41,97.0
,,49.27963,-123.10774,3,1.0,1.0,$160.00,7,5,96.0
,,49.24862,-123.10277,2,1.0,1.0,$245.00,2,26,98.0
100%,100%,49.25952,-123.20709,5,4.0,4.0,$500.00,7,3,100.0
50%,93%,49.27429,-123.14808,5,2.0,2.0,$200.00,30,35,93.0
100%,100%,49.27286,-123.1511,4,1.0,1.0,$170.00,4,62,96.0
100%,96%,49.28036,-123.12206,4,1.0,2.0,$127.00,3,60,95.0
100%,98%,49.2901,-123.13296,2,1.0,1.0,$102.00,30,2,100.0
100%,98%,49.29161,-123.13427,2,1.0,1.0,$100.00,30,3,100.0
,,49.28147,-123.1175,3,1.0,1.0,$150.00,30,0,
100%,,49.23641,-123.19358,4,2.0,2.0,$159.00,2,20,98.0
100%,98%,49.28266,-123.12482,2,,1.0,$92.00,3,117,88.0
93%,87%,49.27479,-123.13338,4,1.0,1.0,$88.00,30,0,
93%,87%,49.27539,-123.11426,4,1.0,1.0,$88.00,356,0,
,,49.25602,-123.11392,9,5.0,6.0,$500.00,5,1,100.0
100%,100%,49.24885,-123.10251,6,3.0,3.0,$220.00,3,27,100.0
0%,0%,49.27192,-123.20987,6,4.0,4.0,"$1,504.00",25,0,
100%,100%,49.28036,-123.10741,9,3.0,5.0,$190.00,2,91,96.0
100%,92%,49.28058,-123.07253,2,1.0,1.0,$43.00,1,66,93.0
100%,100%,49.22389,-123.13323,16,8.0,10.0,$900.00,3,29,98.0
,,49.25741,-123.07923,5,3.0,3.0,$280.00,3,1,100.0
90%,75%,49.24123,-123.15481,1,1.0,1.0,$55.00,2,38,99.0
100%,,49.27785,-123.12058,2,1.0,1.0,$83.00,30,0,
100%,,49.25958,-123.07834,4,2.0,2.0,$109.00,30,2,100.0
,0%,49.27915,-123.10546,4,1.0,2.0,$125.00,3,35,93.0
,,49.28147,-123.12635,8,3.0,3.0,$165.00,30,88,99.0
,,49.26759,-123.04074,4,1.0,3.0,$87.00,1,51,98.0
,,49.26755,-123.06032,1,1.0,1.0,$50.00,1,33,93.0
100%,93%,49.28032,-123.10733,1,1.0,1.0,$45.00,5,67,99.0
100%,91%,49.27686,-123.13359,4,2.0,2.0,$100.00,30,52,98.0
100%,0%,49.23503,-123.1032,2,1.0,2.0,$55.00,30,1,100.0
,,49.28004,-123.12225,2,1.0,1.0,$150.00,2,10,92.0
,,49.25429,-123.09116,2,1.0,1.0,$147.00,1,5,96.0
100%,97%,49.24897,-123.09944,2,1.0,1.0,$77.00,2,17,100.0
,100%,49.25794,-123.18397,2,1.0,1.0,$80.00,2,7,94.0
70%,66%,49.27939,-123.1205,1,1.0,1.0,$39.00,30,7,100.0
100%,0%,49.27919,-123.13031,1,1.0,1.0,$96.00,2,37,96.0
100%,92%,49.28251,-123.13676,2,,0.0,$75.00,30,41,98.0
,,49.27603,-123.11703,2,1.0,1.0,$129.00,1,0,
100%,100%,49.26523,-123.12232,6,2.0,3.0,$187.00,2,70,97.0
100%,100%,49.24392,-123.09669,4,2.0,2.0,$113.00,30,5,100.0
86%,85%,49.27922,-123.12147,3,1.0,2.0,$170.00,1,132,93.0
100%,67%,49.25161,-123.11842,2,1.0,1.0,$100.00,2,58,99.0
100%,100%,49.27524,-123.13402,4,2.0,2.0,$157.00,4,27,99.0
100%,96%,49.27867,-123.12485,3,1.0,2.0,$108.00,30,8,100.0
90%,50%,49.2446,-123.10387,1,1.0,1.0,$30.00,30,6,97.0
100%,100%,49.26352,-123.04747,4,1.0,2.0,$70.00,2,9,100.0
100%,86%,49.27923,-123.12314,4,1.0,2.0,$105.00,3,86,95.0
,100%,49.23473,-123.1369,8,4.0,4.0,$598.00,2,0,
92%,75%,49.23933,-123.08915,1,1.0,1.0,$33.00,30,3,93.0
,,49.23499,-123.08769,1,1.0,1.0,$40.00,30,0,
,100%,49.2797,-123.10525,4,2.0,2.0,$92.00,2,53,92.0
,,49.28356,-123.04926,2,1.0,1.0,$100.00,3,18,100.0
,,49.22687,-123.13144,2,1.0,1.0,$154.00,1,3,100.0
,,49.22737,-123.12936,2,1.0,1.0,$154.00,1,1,100.0
100%,100%,49.23933,-123.19086,2,1.0,2.0,$148.00,3,24,98.0
,,49.25781,-123.12277,4,2.0,3.0,$375.00,3,10,98.0
33%,,49.25,-123.06074,2,3.0,3.0,$313.00,30,0,
,,49.28648,-123.12638,2,1.0,1.0,$100.00,30,0,
100%,,49.28135,-123.13687,2,1.0,1.0,$65.00,30,0,
100%,100%,49.26737,-123.14052,6,2.0,3.0,$165.00,30,44,97.0
100%,84%,49.27989,-123.12096,2,1.0,1.0,$90.00,30,0,
,100%,49.28026,-123.02393,2,1.0,1.0,$75.00,2,32,92.0
,,49.28648,-123.12596,2,1.0,1.0,$70.00,31,0,
100%,,49.26845,-123.07265,3,1.0,1.0,$160.00,5,9,93.0
100%,60%,49.27447,-123.03614,2,1.0,1.0,$81.00,30,1,100.0
100%,50%,49.28366,-123.10672,4,,2.0,$175.00,4,0,
,,49.24284,-123.07443,6,2.0,3.0,$149.00,1,44,96.0
,,49.25177,-123.06269,6,2.0,2.0,$250.00,5,7,100.0
100%,98%,49.27098,-123.16447,2,1.0,1.0,$75.00,2,144,97.0
100%,60%,49.27321,-123.0362,2,,1.0,$88.00,4,21,99.0
,,49.23912,-123.06857,4,2.0,3.0,$120.00,4,3,100.0
,,49.28706,-123.12593,2,1.0,1.0,$75.00,30,0,
,,49.28963,-123.13398,2,,1.0,$85.00,30,6,97.0
,,49.27816,-123.10803,5,3.0,4.0,$141.00,3,98,97.0
,96%,49.2649,-123.16024,2,1.0,1.0,$45.00,1,11,100.0
100%,60%,49.2834,-123.0552,6,3.0,3.0,$147.00,2,44,98.0
88%,90%,49.22297,-123.07906,3,1.0,2.0,$98.00,30,4,100.0
100%,50%,49.24842,-123.11655,2,1.0,1.0,$34.00,30,2,100.0
97%,85%,49.27455,-123.13215,6,3.0,3.0,$371.00,3,26,92.0
20%,40%,49.23097,-123.11167,1,1.0,1.0,$35.00,30,50,100.0
,100%,49.25508,-123.19258,2,1.0,1.0,$85.00,1,17,89.0
,100%,49.25718,-123.19107,2,1.0,1.0,$72.00,1,23,83.0
,100%,49.25591,-123.19259,2,1.0,1.0,$79.00,1,20,87.0
,,49.26797,-123.17143,4,2.0,2.0,$415.00,2,33,97.0
,,49.28089,-123.11794,5,2.0,2.0,$386.00,30,26,96.0
,,49.2689,-123.15981,2,1.0,1.0,$70.00,2,58,99.0
,,49.24357,-123.08859,4,2.0,2.0,$241.00,2,29,99.0
100%,100%,49.21505,-123.15128,2,1.0,1.0,$90.00,2,15,96.0
,,49.21354,-123.13497,4,2.0,2.0,$400.00,3,19,85.0
,,49.21163,-123.13445,3,1.0,2.0,$50.00,4,25,88.0
100%,100%,49.24424,-123.05248,7,3.0,3.0,$249.00,1,95,96.0
,,49.27944,-123.10996,6,2.0,3.0,$140.00,1,64,99.0
100%,100%,49.24745,-123.12041,4,2.0,2.0,$111.00,2,48,93.0
100%,100%,49.28549,-123.05401,1,1.0,1.0,$45.00,30,2,100.0
,,49.27979,-123.1187,4,1.0,2.0,$140.00,4,3,73.0
50%,,49.23915,-123.15336,4,2.0,2.0,$159.00,2,4,100.0
0%,,49.28379,-123.11223,2,1.0,1.0,$99.00,1,10,71.0
0%,,49.28338,-123.11088,2,1.0,1.0,$199.00,1,5,72.0
100%,67%,49.26626,-123.1481,2,1.0,1.0,$78.00,30,0,
,83%,49.27797,-123.06578,2,1.0,1.0,$180.00,2,19,94.0
,100%,49.27402,-123.05813,4,2.0,4.0,$99.00,2,76,98.0
100%,100%,49.21805,-123.06224,4,2.0,2.0,$89.00,2,55,96.0
,,49.27974,-123.13497,3,1.0,2.0,$120.00,30,1,
100%,100%,49.21107,-123.13433,3,2.0,1.0,$49.00,15,31,91.0
,,49.28112,-123.10733,6,3.0,3.0,$300.00,90,25,98.0
100%,100%,49.25644,-123.16395,2,1.0,1.0,$95.00,3,63,99.0
,,49.24606,-123.06662,6,3.0,4.0,$90.00,3,10,100.0
100%,33%,49.26433,-123.10152,2,1.0,1.0,$130.00,30,0,
100%,0%,49.2441,-123.08943,4,2.0,2.0,$125.00,30,0,
,86%,49.26811,-123.21718,2,1.0,1.0,$214.00,60,20,100.0
100%,67%,49.24729,-123.17521,2,1.0,1.0,$85.00,30,6,100.0
100%,98%,49.22962,-123.08003,2,1.0,1.0,$52.00,2,43,100.0
,,49.25527,-123.10392,2,1.0,1.0,$75.00,4,9,98.0
,67%,49.23768,-123.03205,2,1.0,1.0,$60.00,1,26,92.0
100%,100%,49.261,-123.08707,6,3.0,4.0,$194.00,2,3,100.0
100%,86%,49.25236,-123.08975,6,3.0,3.0,$100.00,2,35,93.0
100%,100%,49.27875,-123.12487,4,1.0,2.0,$175.00,4,17,98.0
7%,66%,49.239,-123.03982,1,1.0,1.0,$30.00,30,0,
7%,66%,49.2392,-123.04068,1,1.0,1.0,$35.00,30,6,97.0
100%,88%,49.2834,-123.10224,2,1.0,1.0,$199.00,1,83,99.0
80%,97%,49.28102,-123.10638,2,,1.0,$97.00,7,90,96.0
75%,88%,49.28124,-123.12516,1,3.0,1.0,$89.00,32,1,100.0
100%,96%,49.22051,-123.1432,4,2.0,2.0,$150.00,30,6,83.0
100%,96%,49.21991,-123.14129,4,2.0,2.0,$140.00,30,4,100.0
,100%,49.281,-123.10867,7,2.0,3.0,$383.00,90,30,97.0
,,49.25558,-123.08802,2,1.0,1.0,$60.00,1,52,86.0
100%,100%,49.28603,-123.12466,2,1.0,1.0,$316.00,30,1,100.0
,,49.25206,-123.05795,2,1.0,1.0,$45.00,2,2,100.0
,,49.20999,-123.14678,13,5.0,7.0,$230.00,2,25,98.0
100%,100%,49.23189,-123.14962,4,2.0,2.0,$85.00,1,79,92.0
,,49.28235,-123.12703,2,1.0,1.0,$200.00,90,21,100.0
,0%,49.27621,-123.11033,10,,1.0,$800.00,1,0,
100%,100%,49.22917,-123.02698,6,3.0,3.0,$109.00,15,33,93.0
,,49.28123,-123.04761,4,2.0,2.0,$220.00,2,16,100.0
100%,91%,49.27814,-123.04327,4,2.0,3.0,$90.00,30,0,
,,49.24507,-123.06637,3,1.0,1.0,$55.00,30,69,88.0
100%,,49.25335,-123.15414,2,1.0,1.0,$95.00,2,9,89.0
100%,87%,49.27821,-123.07952,3,1.0,1.0,$65.00,2,78,94.0
,100%,49.22509,-123.18899,3,2.0,3.0,$150.00,5,3,100.0
100%,100%,49.26856,-123.17035,4,2.0,2.0,$115.00,31,0,
100%,98%,49.22962,-123.0798,2,1.0,1.0,$50.00,2,23,99.0
100%,97%,49.22657,-123.03997,4,2.0,2.0,$161.00,30,60,100.0
,,49.27603,-123.13021,3,,1.0,$111.00,30,2,100.0
100%,100%,49.26413,-123.17343,4,2.0,2.0,$175.00,7,24,96.0
,,49.28405,-123.1074,3,1.0,1.0,$90.00,90,0,
100%,,49.2499,-123.08963,6,4.0,4.0,$225.00,3,2,90.0
100%,100%,49.25659,-123.12948,1,1.0,1.0,$79.00,3,18,99.0
100%,83%,49.21386,-123.11039,1,1.0,1.0,$44.00,20,33,96.0
100%,,49.27863,-123.1092,4,2.0,2.0,$150.00,180,39,97.0
0%,,49.25625,-123.16338,2,1.0,1.0,$228.00,1,0,
100%,98%,49.29056,-123.13529,2,1.0,1.0,$95.00,30,4,100.0
,,49.2661,-123.1594,4,3.0,3.0,$357.00,365,11,91.0
,0%,49.24872,-123.08863,7,4.0,3.0,$299.00,3,3,100.0
67%,100%,49.28608,-123.12465,4,2.0,2.0,$340.00,30,0,
100%,80%,49.27811,-123.11948,1,1.0,1.0,$78.00,30,2,100.0
100%,100%,49.28821,-123.1268,3,2.0,2.0,$180.00,30,0,
100%,100%,49.28197,-123.10824,2,1.0,1.0,$150.00,90,0,
,,49.2794,-123.08858,1,1.0,1.0,$55.00,30,1,
,,49.26599,-123.15889,4,3.0,3.0,$357.00,4,7,100.0
100%,75%,49.22272,-123.09132,10,4.0,5.0,$358.00,2,24,98.0
100%,67%,49.25765,-123.08032,4,2.0,2.0,$199.00,6,21,98.0
,,49.24869,-123.1142,3,1.0,1.0,$99.00,30,22,99.0
7%,66%,49.24109,-123.03921,1,1.0,1.0,$35.00,7,99,96.0
100%,100%,49.25987,-123.10713,6,3.0,3.0,$200.00,30,50,98.0
,50%,49.26069,-123.15356,1,1.0,1.0,$34.00,7,2,100.0
100%,0%,49.27485,-123.13347,2,1.0,1.0,$120.00,30,0,
100%,100%,49.2769,-123.11658,3,1.0,1.0,$205.00,30,2,100.0
100%,97%,49.26641,-123.09822,4,1.0,2.0,$133.00,2,52,99.0
100%,88%,49.27895,-123.12616,2,,1.0,$215.00,30,22,94.0
70%,100%,49.27281,-123.12169,2,1.0,1.0,$125.00,30,9,100.0
,,49.24416,-123.06092,2,1.0,1.0,$54.00,1,36,92.0
,,49.23677,-123.09062,3,1.0,2.0,$38.00,1,11,84.0
0%,,49.28318,-123.11073,2,1.0,1.0,$99.00,1,13,82.0
,,49.26402,-123.1196,3,1.0,1.0,$300.00,3,11,98.0
,,49.26566,-123.18372,3,1.0,1.0,$120.00,31,15,89.0
100%,67%,49.25861,-123.08109,2,1.0,1.0,$105.00,2,6,97.0
,,49.27716,-123.03378,7,3.0,4.0,$113.00,1,47,98.0
100%,100%,49.25217,-123.12009,3,1.0,2.0,$200.00,7,35,100.0
100%,81%,49.28285,-123.03092,4,2.0,2.0,$98.00,1,63,97.0
100%,99%,49.23677,-123.05548,5,2.0,3.0,$68.00,1,92,96.0
100%,97%,49.26358,-123.06453,2,1.0,1.0,$45.00,2,96,98.0
100%,100%,49.25194,-123.18313,2,1.0,1.0,$79.00,1,35,98.0
100%,100%,49.27043,-123.05802,5,2.0,4.0,$128.00,2,47,98.0
100%,100%,49.2601,-123.14659,4,,2.0,$119.00,1,72,93.0
100%,91%,49.2691,-123.1657,1,2.0,1.0,$60.00,28,7,100.0
100%,100%,49.28302,-123.02837,2,1.0,1.0,$55.00,3,27,85.0
,0%,49.23693,-123.18214,4,2.0,2.0,$159.00,4,22,97.0
100%,100%,49.25355,-123.18299,2,1.0,1.0,$89.00,1,26,99.0
100%,100%,49.26425,-123.16378,5,2.0,4.0,$235.00,3,64,97.0
,,49.29123,-123.14244,1,1.0,1.0,$88.00,31,0,
100%,100%,49.22908,-123.17645,8,4.0,4.0,"$1,950.00",14,3,100.0
,100%,49.27634,-123.11305,4,2.0,2.0,$135.00,30,10,98.0
90%,89%,49.25414,-123.07883,6,2.0,3.0,$120.00,1,52,99.0
100%,100%,49.28227,-123.12364,5,3.0,3.0,$107.00,1,78,90.0
100%,,49.26743,-123.10084,4,1.0,1.0,$300.00,2,24,99.0
,100%,49.25989,-123.09254,2,1.0,1.0,$115.00,3,18,100.0
100%,91%,49.28856,-123.05991,3,1.0,1.0,$52.00,3,43,100.0
100%,,49.22895,-123.04251,1,1.0,1.0,$45.00,2,20,93.0
92%,75%,49.24149,-123.08796,1,1.0,1.0,$31.00,30,4,70.0
60%,,49.21508,-123.15437,16,6.0,6.0,$380.00,30,32,96.0
100%,95%,49.22984,-123.18895,2,1.0,1.0,$77.00,1,64,97.0
100%,100%,49.27808,-123.12081,5,1.0,4.0,$174.00,30,78,96.0
,0%,49.2276,-123.08981,2,1.0,1.0,$88.00,32,43,100.0
100%,100%,49.25071,-123.06901,4,1.0,1.0,$150.00,2,29,98.0
100%,100%,49.24398,-123.09207,4,2.0,2.0,$220.00,2,26,99.0
,,49.26821,-123.18413,3,2.0,2.0,$140.00,5,14,97.0
100%,93%,49.2781,-123.09955,4,1.0,2.0,$181.00,3,42,100.0
67%,100%,49.28473,-123.12414,4,2.0,2.0,$331.00,30,1,100.0
,100%,49.29043,-123.13367,2,1.0,1.0,$49.00,30,3,100.0
50%,,49.23762,-123.19521,2,2.0,2.0,$92.00,1,7,77.0
100%,92%,49.22457,-123.11687,2,1.0,1.0,$59.00,30,22,86.0
,100%,49.25533,-123.04361,4,2.0,2.0,$150.00,1,36,93.0
,,49.24135,-123.08608,2,1.0,1.0,$119.00,1,33,95.0
92%,99%,49.28618,-123.12312,5,1.0,3.0,$113.00,2,137,96.0
100%,97%,49.25821,-123.04656,4,,2.0,$61.00,1,80,92.0
100%,91%,49.27133,-123.16427,2,2.0,2.0,$60.00,5,2,90.0
100%,0%,49.24049,-123.09713,2,1.0,1.0,$95.00,2,25,98.0
100%,100%,49.24398,-123.08796,4,2.0,2.0,$110.00,3,33,97.0
100%,100%,49.24388,-123.09462,4,2.0,4.0,$92.00,2,79,99.0
100%,92%,49.22392,-123.11885,2,1.0,1.0,$29.00,30,17,91.0
,,49.24719,-123.06382,5,3.0,4.0,$195.00,2,7,100.0
100%,0%,49.22319,-123.11899,7,3.0,3.0,$414.00,3,10,98.0
0%,,49.2866,-123.12559,3,1.0,3.0,$129.00,30,1,100.0
,,49.26178,-123.18389,5,2.0,4.0,$295.00,1,22,89.0
,,49.26665,-123.06027,1,1.0,1.0,$50.00,1,16,93.0
100%,100%,49.26998,-123.10617,2,1.0,1.0,$204.00,2,36,88.0
,,49.2667,-123.06024,4,3.0,3.0,$200.00,7,11,91.0
,,49.28822,-123.13018,3,1.0,1.0,$139.00,3,25,96.0
100%,0%,49.27216,-123.17987,3,2.0,2.0,$200.00,5,9,96.0
75%,69%,49.27978,-123.10638,2,,1.0,$81.00,30,7,94.0
93%,36%,49.2868,-123.13337,2,1.0,1.0,$75.00,30,0,
100%,92%,49.22365,-123.11902,2,1.0,1.0,$33.00,30,16,93.0
100%,88%,49.22038,-123.10205,4,2.0,2.0,$75.00,30,8,88.0
80%,43%,49.27617,-123.12624,3,1.0,1.0,$249.00,7,11,95.0
,,49.26939,-123.10321,2,1.0,1.0,$124.00,3,3,100.0
,,49.21328,-123.11393,2,1.0,1.0,$75.00,1,16,99.0
50%,,49.23737,-123.1949,4,2.0,2.0,$129.00,1,5,96.0
